,Unnamed: 0,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Categoria_Num,Verd_Fals
11765,11790,0,8,5,3,3,2,5,0,False
9219,9244,0,9,5,2,3,2,8,1,True
14129,14154,1,8,5,2,2,1,8,1,True
3502,3527,0,9,5,2,3,2,8,0,False
12314,12339,1,8,5,2,2,1,7,1,True
15660,15685,1,7,5,3,3,2,5,1,True
18570,18595,1,6,5,1,2,1,8,0,False
13970,13995,1,7,5,2,3,2,6,1,True
13808,13833,0,9,5,1,1,2,5,1,True
21079,21104,1,6,5,2,3,2,8,0,False
11846,11871,0,6,5,2,3,1,8,1,True
5866,5891,0,9,2,3,3,2,8,1,True
9476,9501,1,6,5,1,3,2,7,1,True
60,85,1,8,5,2,3,2,4,0,False
13702,13727,1,7,5,1,2,1,6,1,True
11797,11822,1,6,5,2,3,1,8,1,True
18025,18050,0,3,5,3,3,2,6,1,True
9699,9724,1,3,5,3,3,2,8,1,True
9176,9201,1,3,5,3,3,1,8,1,True
20893,20918,0,9,5,3,3,2,8,1,True
13968,13993,1,9,5,3,3,2,8,0,False
8802,8827,1,4,4,1,3,1,7,1,True
11005,11030,0,3,5,3,3,2,8,1,True
8371,8396,1,4,4,1,1,1,5,1,True
7337,7362,1,6,5,3,3,2,6,1,True
17950,17975,1,6,5,1,2,1,1,1,True
14530,14555,1,3,5,2,3,2,4,0,False
10180,10205,0,9,5,1,3,2,8,1,True
13625,13650,1,7,3,1,3,1,7,1,True
13057,13082,1,6,5,2,3,2,5,1,True
2217,2242,1,7,5,3,3,2,7,0,False
11601,11626,1,9,5,1,3,2,3,1,True
13018,13043,1,6,5,3,3,1,7,0,False
14711,14736,1,9,5,3,2,1,8,0,False
4463,4488,0,9,4,2,3,2,7,1,True
20965,20990,1,9,5,3,3,2,7,1,True
8010,8035,0,7,5,3,1,1,8,1,True
9587,9612,1,5,5,1,1,1,4,1,True
17434,17459,0,9,5,2,3,2,8,1,True
2763,2788,0,9,3,2,2,2,5,1,True
