,Unnamed: 0.1,Unnamed: 0,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Categoria_Num,Verd_Fals
1858,13299,13324,Masculino,SinFormacion,tiempoindeterminado,confianza,diurno,NO,15A19A,1,True
1859,4235,4260,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,Menos6M,1,True
1860,8870,8895,Masculino,Preparatoria,tiempoindeterminado,confianza,mixto,NO,Menos6M,1,True
1861,6513,6538,Masculino,Primaria,tiempoindeterminado,confianza,diurno,NO,Mas25A,1,True
1862,12884,12909,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1,True
1863,567,592,Femenino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,6M1A,0,False
1864,6556,6581,Masculino,Secundaria,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1,True
1865,407,432,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1866,12736,12761,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1,True
1867,7787,7812,Masculino,Secundaria,tiempoindeterminado,sindicalizado,diurno,SI,5A9A,1,True
1868,4656,4681,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,SI,10A14A,1,True
1869,16499,16524,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,1,True
1870,6312,6337,Masculino,TecnicoSuperior,tiempoindeterminado,sindicalizado,mixto,SI,5A9A,0,False
1871,6400,6425,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,SI,5A9A,1,True
1872,17869,17894,Masculino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,5A9A,0,False
1873,12880,12905,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1,True
1874,17135,17160,Femenino,Secundaria,tiempoindeterminado,confianza,diurno,SI,1A4A,1,True
1875,4280,4305,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,1,True
1876,5897,5922,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,0,False
1877,6216,6241,Masculino,Bachillerato,tiempoindeterminado,sindicalizado,mixto,NO,6M1A,1,True
1878,16341,16366,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,1,True
1879,5413,5438,Masculino,SinFormacion,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1880,15140,15165,Masculino,Secundaria,tiempoindeterminado,confianza,diurno,SI,6M1A,0,False
1881,13088,13113,Masculino,Preparatoria,tiempoindeterminado,ninguno,diurno,SI,1A4A,1,True
1882,14461,14486,Masculino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1883,12390,12415,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,SI,1A4A,1,True
1884,20661,20686,Femenino,Licenciatura,honorarios,confianza,diurno,NO,10A14A,1,True
1885,12372,12397,Masculino,Bachillerato,tiempoindeterminado,ninguno,mixto,SI,6M1A,1,True
1886,8676,8701,Femenino,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,1A4A,1,True
1887,16543,16568,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1888,4816,4841,Masculino,SinFormacion,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1,True
1889,2600,2625,Femenino,SinFormacion,tiempoindeterminado,confianza,diurno,SI,5A9A,0,False
1890,15270,15295,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1891,18999,19024,Masculino,TecnicoSuperior,tiempoindeterminado,sindicalizado,mixto,SI,20A24A,1,True
1892,19277,19302,Femenino,Maestria,tiempodeterminado,ninguno,diurno,NO,6M1A,1,True
1893,19157,19182,Masculino,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,5A9A,1,True
1894,12338,12363,Masculino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,1A4A,0,False
1895,7179,7204,Masculino,Preparatoria,otro,confianza,diurno,NO,6M1A,0,False
1896,12462,12487,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,1,True
1897,329,354,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1,True
1898,18646,18671,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,5A9A,1,True
1899,1954,1979,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1900,12451,12476,Masculino,Secundaria,tiempoindeterminado,confianza,diurno,SI,5A9A,1,True
1901,9046,9071,Masculino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,5A9A,1,True
1902,20789,20814,Femenino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,0,False
1903,8626,8651,Masculino,Secundaria,tiempoindeterminado,confianza,diurno,NO,6M1A,1,True
1904,19298,19323,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,mixto,SI,10A14A,0,False
1905,13973,13998,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,10A14A,1,True
1906,3,28,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,SI,5A9A,1,True
1907,17520,17545,Masculino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1908,10209,10234,Femenino,SinFormacion,tiempoindeterminado,ninguno,diurno,NO,1A4A,1,True
1909,16138,16163,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,1,True
1910,2649,2674,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1,True
1911,2266,2291,Masculino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,10A14A,0,False
1912,10664,10689,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,1,True
1913,844,869,Femenino,Primaria,tiempoindeterminado,sindicalizado,diurno,NO,10A14A,1,True
1914,4284,4309,Femenino,Bachillerato,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,0,False
1915,13804,13829,Masculino,Preparatoria,tiempoindeterminado,confianza,diurno,SI,6M1A,1,True
1916,15667,15692,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,1,True
1917,19111,19136,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,1,True
1918,20310,20335,Femenino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1919,14750,14775,Femenino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,6M1A,1,True
1920,8037,8062,Masculino,TecnicoSuperior,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1,True
1921,3865,3890,Femenino,SinFormacion,otro,confianza,diurno,NO,5A9A,1,True
1922,19885,19910,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1,True
1923,4433,4458,Femenino,Licenciatura,tiempodeterminado,sindicalizado,diurno,NO,1A4A,1,True
1924,11741,11766,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,1,True
1925,19563,19588,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,Menos6M,1,True
1926,15621,15646,Masculino,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,Menos6M,0,False
1927,9890,9915,Femenino,Licenciatura,otro,ninguno,diurno,NO,1A4A,1,True
1928,8666,8691,Masculino,Preparatoria,porObraoProyecto,sindicalizado,diurno,NO,5A9A,1,True
1929,20611,20636,Femenino,Preparatoria,tiempodeterminado,confianza,mixto,SI,Menos6M,1,True
1930,9400,9425,Femenino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1931,9265,9290,Masculino,Maestria,tiempoindeterminado,ninguno,mixto,SI,6M1A,1,True
1932,17941,17966,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,mixto,SI,15A19A,1,True
1933,7468,7493,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1,True
1934,12569,12594,Masculino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1,True
1935,15731,15756,Femenino,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,6M1A,1,True
1936,5541,5566,Masculino,Licenciatura,tiempodeterminado,confianza,diurno,NO,Menos6M,1,True
1937,64,89,Masculino,Bachillerato,porObraoProyecto,ninguno,diurno,NO,1A4A,1,True
1938,9654,9679,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1939,18264,18289,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,1,True
1940,941,966,Femenino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,1A4A,0,False
1941,1047,1072,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,1,True
