,Id_respuesta,Id_empleado_nom35,Id_res_nom35,respuesta,date,Indice
1178,1179,30,43,2,2019-07-09,171
1179,1180,30,44,2,2019-07-09,172
1180,1181,30,45,2,2019-07-09,173
1181,1182,30,46,2,2019-07-09,174
1182,1183,31,1,2,2019-07-09,175
1183,1184,31,2,0,2019-07-09,176
1184,1185,31,3,1,2019-07-09,177
1185,1186,31,4,3,2019-07-09,178
1186,1187,31,5,1,2019-07-09,179
1187,1188,31,6,2,2019-07-09,180
1188,1189,31,7,3,2019-07-09,181
1189,1190,31,8,2,2019-07-09,182
1190,1191,31,9,2,2019-07-09,183
1191,1192,31,10,2,2019-07-09,184
1192,1193,31,11,2,2019-07-09,185
1193,1194,31,12,2,2019-07-09,186
1194,1195,31,13,1,2019-07-09,187
1195,1196,31,14,3,2019-07-09,188
1196,1197,31,15,3,2019-07-09,189
1197,1198,31,16,3,2019-07-09,190
1198,1199,31,17,2,2019-07-09,191
1199,1200,31,18,0,2019-07-09,192
1200,1201,31,19,1,2019-07-09,193
1201,1202,31,20,0,2019-07-09,194
1202,1203,31,21,0,2019-07-09,195
1203,1204,31,22,0,2019-07-09,196
1204,1205,31,23,1,2019-07-09,197
1205,1206,31,24,2,2019-07-09,198
1206,1207,31,25,0,2019-07-09,199
1207,1208,31,26,0,2019-07-09,200
1208,1209,31,27,0,2019-07-09,201
1209,1210,31,28,0,2019-07-09,202
1210,1211,31,29,0,2019-07-09,203
1211,1212,31,30,0,2019-07-09,204
1212,1213,31,31,0,2019-07-09,205
1213,1214,31,32,0,2019-07-09,206
1214,1215,31,33,0,2019-07-09,207
1215,1216,31,34,0,2019-07-09,208
1216,1217,31,35,0,2019-07-09,209
1217,1218,31,36,1,2019-07-09,210
1218,1219,31,37,0,2019-07-09,211
1219,1220,31,38,0,2019-07-09,212
1220,1221,31,39,0,2019-07-09,213
1221,1222,31,40,0,2019-07-09,214
1222,1223,31,41,1,2019-07-09,215
1223,1224,31,42,0,2019-07-09,216
1224,1225,31,43,0,2019-07-09,217
1225,1736,44,1,4,2019-07-12,218
1226,1737,44,2,4,2019-07-12,219
1227,1738,44,3,4,2019-07-12,220
1228,1739,44,4,4,2019-07-12,221
1229,1740,44,5,4,2019-07-12,222
1230,1741,44,6,4,2019-07-12,223
1231,1742,44,7,4,2019-07-12,224
1232,1743,44,8,4,2019-07-12,225
1233,1744,44,9,4,2019-07-12,226
1234,1745,44,10,4,2019-07-12,227
1235,1746,44,11,4,2019-07-12,228
1236,1747,44,12,4,2019-07-12,229
1237,1748,44,13,4,2019-07-12,230
1238,1749,44,14,4,2019-07-12,231
1239,1750,44,15,4,2019-07-12,232
1240,1751,44,16,4,2019-07-12,233
1241,1752,44,17,4,2019-07-12,234
1242,1753,44,18,0,2019-07-12,235
1243,1754,44,19,0,2019-07-12,236
1244,1755,44,20,0,2019-07-12,237
1245,1756,44,21,0,2019-07-12,238
1246,1757,44,22,0,2019-07-12,239
1247,1758,44,23,0,2019-07-12,240
1248,1759,44,24,0,2019-07-12,241
1249,1760,44,25,0,2019-07-12,242
1250,1761,44,26,0,2019-07-12,243
1251,1762,44,27,0,2019-07-12,244
1252,1763,44,28,3,2019-07-12,245
1253,1764,44,29,3,2019-07-12,246
1254,1765,44,30,3,2019-07-12,247
1255,1766,44,31,3,2019-07-12,248
1256,1767,44,32,3,2019-07-12,249
1257,1768,44,33,3,2019-07-12,250
1258,1769,44,34,1,2019-07-12,251
1259,1770,44,35,1,2019-07-12,252
1260,1771,44,36,1,2019-07-12,253
1261,1772,44,37,1,2019-07-12,254
1262,1773,44,38,1,2019-07-12,255
1263,1774,44,39,1,2019-07-12,256
1264,1775,44,40,1,2019-07-12,257
1265,1776,44,41,1,2019-07-12,258
1266,1777,44,42,1,2019-07-12,259
1267,1778,44,43,2,2019-07-12,260
1268,1779,44,44,2,2019-07-12,261
1269,1780,44,45,2,2019-07-12,262
1270,1781,44,46,2,2019-07-12,263
1271,2132,54,1,2,2019-07-17,264
1272,2133,54,2,0,2019-07-17,265
1273,2134,54,3,0,2019-07-17,266
1274,2135,54,4,2,2019-07-17,267
1275,2136,54,5,2,2019-07-17,268
1276,2137,54,6,0,2019-07-17,269
1277,2138,54,7,2,2019-07-17,270
1278,2139,54,8,2,2019-07-17,271
1279,2140,54,9,2,2019-07-17,272
1280,2141,54,10,4,2019-07-17,273
1281,2142,54,11,4,2019-07-17,274
1282,2143,54,12,1,2019-07-17,275
1283,2144,54,13,0,2019-07-17,276
1284,2145,54,14,2,2019-07-17,277
1285,2146,54,15,0,2019-07-17,278
1286,2147,54,16,1,2019-07-17,279
1287,2148,54,17,0,2019-07-17,280
1288,2149,54,18,2,2019-07-17,281
1289,2150,54,19,4,2019-07-17,282
1290,2151,54,20,1,2019-07-17,283
1291,2152,54,21,2,2019-07-17,284
1292,2153,54,22,0,2019-07-17,285
1293,2154,54,23,2,2019-07-17,286
1294,2155,54,24,0,2019-07-17,287
1295,2156,54,25,0,2019-07-17,288
1296,2157,54,26,4,2019-07-17,289
1297,2158,54,27,4,2019-07-17,290
1298,2159,54,28,0,2019-07-17,291
1299,2160,54,29,0,2019-07-17,292
1300,2161,54,30,0,2019-07-17,293
1301,2162,54,31,0,2019-07-17,294
1302,2163,54,32,0,2019-07-17,295
1303,2164,54,33,0,2019-07-17,296
1304,2165,54,34,0,2019-07-17,297
1305,2166,54,35,0,2019-07-17,298
1306,2167,54,36,0,2019-07-17,299
1307,2168,54,37,0,2019-07-17,300
1308,2169,54,38,0,2019-07-17,301
1309,2170,54,39,0,2019-07-17,302
1310,2171,54,40,0,2019-07-17,303
1311,2172,55,1,2,2019-07-17,304
1312,2173,55,2,2,2019-07-17,305
1313,2174,55,3,2,2019-07-17,306
1314,2175,55,4,2,2019-07-17,307
1315,2176,55,5,2,2019-07-17,308
1316,2177,55,6,2,2019-07-17,309
1317,2178,55,7,2,2019-07-17,310
1318,2179,55,8,2,2019-07-17,311
1319,2180,55,9,2,2019-07-17,312
1320,2181,55,10,2,2019-07-17,313
1321,2182,55,11,2,2019-07-17,314
1322,2183,55,12,2,2019-07-17,315
1323,2184,55,13,2,2019-07-17,316
1324,2185,55,14,2,2019-07-17,317
1325,2186,55,15,2,2019-07-17,318
1326,2187,55,16,2,2019-07-17,319
1327,2188,55,17,2,2019-07-17,320
1328,2189,55,18,2,2019-07-17,321
1329,2190,55,19,2,2019-07-17,322
1330,2191,55,20,2,2019-07-17,323
1331,2192,55,21,2,2019-07-17,324
1332,2193,55,22,2,2019-07-17,325
1333,2194,55,23,2,2019-07-17,326
