,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Resultado,Categoria,Categoria_Num
86,Femenino,Preparatoria,otro,confianza,diurno,NO,1A4A,72.0,Alto,1
87,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,52.0,Medio,1
88,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,35.0,Bajo,0
89,Masculino,Bachillerato,porObraoProyecto,ninguno,diurno,NO,1A4A,73.0,Alto,1
90,Masculino,Bachillerato,tiempodeterminado,confianza,diurno,SI,Menos6M,47.0,Medio,1
91,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,36.0,Bajo,0
92,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,77.0,Alto,1
93,Femenino,Licenciatura,porObraoProyecto,sindicalizado,diurno,SI,10A14A,92.0,Muy Alto,1
94,Masculino,Preparatoria,tiempodeterminado,confianza,diurno,NO,1A4A,0.0,Nulo,0
95,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,5A9A,79.0,Alto,1
96,Masculino,Secundaria,tiempoindeterminado,ninguno,diurno,NO,5A9A,90.0,Muy Alto,1
97,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,46.0,Medio,1
98,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,10A14A,51.0,Medio,1
99,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,44.0,Bajo,0
100,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,0.0,Nulo,0
101,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,63.0,Medio,1
102,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,0.0,Nulo,0
103,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,109.0,Muy Alto,1
104,Masculino,Maestria,honorarios,confianza,diurno,NO,1A4A,39.0,Bajo,0
105,Masculino,Licenciatura,honorarios,confianza,diurno,NO,5A9A,72.0,Alto,1
106,Femenino,Licenciatura,tiempodeterminado,sindicalizado,diurno,NO,1A4A,83.0,Alto,1
107,Femenino,Licenciatura,tiempodeterminado,sindicalizado,diurno,NO,1A4A,68.0,Medio,1
108,Masculino,TecnicoSuperior,tiempodeterminado,confianza,diurno,NO,5A9A,47.0,Medio,1
109,Femenino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,6M1A,96.0,Muy Alto,1
110,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,99.0,Muy Alto,1
111,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,0.0,Nulo,0
112,Masculino,Bachillerato,tiempodeterminado,ninguno,diurno,NO,1A4A,59.0,Medio,1
113,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,0.0,Nulo,0
114,Femenino,Bachillerato,otro,ninguno,diurno,NO,1A4A,39.0,Bajo,0
115,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,45.0,Medio,1
116,Femenino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,1A4A,29.0,Bajo,0
117,Masculino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,15A19A,47.0,Medio,1
118,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,88.0,Alto,1
119,Masculino,TecnicoSuperior,otro,confianza,mixto,NO,Mas25A,51.0,Medio,1
120,Femenino,Maestria,tiempoindeterminado,ninguno,diurno,NO,5A9A,77.0,Alto,1
121,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,80.0,Alto,1
122,Femenino,TecnicoSuperior,honorarios,ninguno,diurno,NO,1A4A,20.0,Bajo,0
123,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,5A9A,44.0,Bajo,0
124,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,20A24A,0.0,Nulo,0
125,Masculino,Secundaria,tiempodeterminado,confianza,diurno,NO,5A9A,80.0,Alto,1
126,Masculino,Bachillerato,otro,ninguno,diurno,NO,6M1A,0.0,Nulo,0
127,Femenino,Preparatoria,tiempodeterminado,ninguno,diurno,NO,Menos6M,92.0,Muy Alto,1
128,Femenino,Preparatoria,tiempodeterminado,confianza,diurno,NO,1A4A,0.0,Nulo,0
129,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,99.0,Muy Alto,1
130,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,15A19A,88.0,Alto,1
131,Masculino,Secundaria,otro,ninguno,nocturno,NO,Menos6M,0.0,Nulo,0
132,Femenino,TecnicoSuperior,tiempodeterminado,confianza,diurno,NO,6M1A,56.0,Medio,1
133,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,53.0,Medio,1
134,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,75.0,Alto,1
135,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,71.0,Alto,1
136,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,47.0,Medio,1
137,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,95.0,Muy Alto,1
138,Masculino,Secundaria,tiempoindeterminado,sindicalizado,diurno,SI,5A9A,90.0,Muy Alto,1
139,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,10A14A,64.0,Medio,1
140,Femenino,Licenciatura,tiempoindeterminado,confianza,mixto,NO,Menos6M,92.0,Muy Alto,1
141,Femenino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,6M1A,55.0,Medio,1
142,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,64.0,Medio,1
143,Masculino,Licenciatura,tiempoindeterminado,confianza,mixto,SI,Menos6M,0.0,Nulo,0
