,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Resultado
98,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,10A14A,51.0
99,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,44.0
100,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,0.0
101,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,63.0
102,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,0.0
103,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,109.0
104,Masculino,Maestria,honorarios,confianza,diurno,NO,1A4A,39.0
105,Masculino,Licenciatura,honorarios,confianza,diurno,NO,5A9A,72.0
106,Femenino,Licenciatura,tiempodeterminado,sindicalizado,diurno,NO,1A4A,83.0
107,Femenino,Licenciatura,tiempodeterminado,sindicalizado,diurno,NO,1A4A,68.0
108,Masculino,TecnicoSuperior,tiempodeterminado,confianza,diurno,NO,5A9A,47.0
109,Femenino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,6M1A,96.0
110,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,99.0
111,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,0.0
112,Masculino,Bachillerato,tiempodeterminado,ninguno,diurno,NO,1A4A,59.0
113,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,0.0
114,Femenino,Bachillerato,otro,ninguno,diurno,NO,1A4A,39.0
115,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,45.0
116,Femenino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,1A4A,29.0
117,Masculino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,15A19A,47.0
118,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,88.0
119,Masculino,TecnicoSuperior,otro,confianza,mixto,NO,Mas25A,51.0
120,Femenino,Maestria,tiempoindeterminado,ninguno,diurno,NO,5A9A,77.0
121,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,80.0
122,Femenino,TecnicoSuperior,honorarios,ninguno,diurno,NO,1A4A,20.0
123,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,5A9A,44.0
124,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,20A24A,0.0
125,Masculino,Secundaria,tiempodeterminado,confianza,diurno,NO,5A9A,80.0
126,Masculino,Bachillerato,otro,ninguno,diurno,NO,6M1A,0.0
127,Femenino,Preparatoria,tiempodeterminado,ninguno,diurno,NO,Menos6M,92.0
128,Femenino,Preparatoria,tiempodeterminado,confianza,diurno,NO,1A4A,0.0
129,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,99.0
130,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,15A19A,88.0
131,Masculino,Secundaria,otro,ninguno,nocturno,NO,Menos6M,0.0
132,Femenino,TecnicoSuperior,tiempodeterminado,confianza,diurno,NO,6M1A,56.0
133,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,53.0
134,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,75.0
135,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,71.0
136,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,47.0
137,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,95.0
138,Masculino,Secundaria,tiempoindeterminado,sindicalizado,diurno,SI,5A9A,90.0
139,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,10A14A,64.0
140,Femenino,Licenciatura,tiempoindeterminado,confianza,mixto,NO,Menos6M,92.0
141,Femenino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,6M1A,55.0
142,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,64.0
143,Masculino,Licenciatura,tiempoindeterminado,confianza,mixto,SI,Menos6M,0.0
144,Masculino,Doctorado,tiempoindeterminado,confianza,diurno,NO,5A9A,79.0
145,Femenino,Secundaria,tiempoindeterminado,confianza,diurno,NO,Menos6M,74.0
146,Masculino,Maestria,tiempoindeterminado,ninguno,diurno,NO,5A9A,64.0
147,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,41.0
148,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,36.0
149,Masculino,Bachillerato,tiempodeterminado,ninguno,diurno,NO,Menos6M,53.0
150,Femenino,Maestria,porObraoProyecto,sindicalizado,diurno,NO,5A9A,65.0
151,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,49.0
152,Masculino,Bachillerato,tiempoindeterminado,ninguno,diurno,NO,1A4A,59.0
153,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,5A9A,68.0
154,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,60.0
155,Femenino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,10A14A,14.0
156,Femenino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,10A14A,29.0
157,Femenino,Licenciatura,tiempodeterminado,confianza,diurno,NO,Menos6M,47.0
158,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,118.0
159,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,10A14A,51.0
160,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,5A9A,33.0
161,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,1A4A,26.0
162,Masculino,Bachillerato,tiempoindeterminado,ninguno,diurno,NO,5A9A,94.0
163,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,6M1A,66.0
164,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,49.0
165,Femenino,Licenciatura,honorarios,confianza,diurno,NO,1A4A,64.0
166,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,34.0
167,Masculino,Licenciatura,tiempodeterminado,confianza,nocturno,NO,1A4A,104.0
168,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,65.0
169,Masculino,Licenciatura,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,104.0
170,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,0.0
171,Masculino,Maestria,tiempoindeterminado,confianza,mixto,SI,Menos6M,92.0
172,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,77.0
173,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,66.0
174,Masculino,Licenciatura,porObraoProyecto,ninguno,mixto,NO,Menos6M,60.0
175,Femenino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,100.0
176,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,44.0
177,Masculino,Licenciatura,porObraoProyecto,confianza,diurno,SI,Mas25A,46.0
178,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,53.0
179,Masculino,SinFormacion,porObraoProyecto,sindicalizado,mixto,SI,Menos6M,44.0
180,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,0.0
181,Femenino,Preparatoria,otro,ninguno,diurno,NO,Menos6M,40.0
182,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,46.0
183,Masculino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,6M1A,27.0
184,Masculino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,1A4A,67.0
185,Femenino,Secundaria,tiempoindeterminado,confianza,diurno,NO,6M1A,61.0
186,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,58.0
187,Masculino,Licenciatura,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,46.0
188,Masculino,Maestria,tiempoindeterminado,confianza,diurno,SI,5A9A,114.0
189,Masculino,Maestria,tiempoindeterminado,confianza,diurno,SI,5A9A,105.0
190,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,34.0
191,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,55.0
192,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,68.0
193,Femenino,Licenciatura,otro,confianza,diurno,NO,1A4A,73.0
194,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,68.0
195,Femenino,Preparatoria,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,47.0
196,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,82.0
197,Masculino,Licenciatura,porObraoProyecto,confianza,diurno,NO,1A4A,33.0
198,Femenino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,5A9A,71.0
199,Masculino,Maestria,tiempodeterminado,confianza,diurno,NO,1A4A,92.0
200,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,67.0
201,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,54.0
202,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,90.0
203,Masculino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,Menos6M,0.0
204,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,0.0
205,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,48.0
206,Masculino,Licenciatura,honorarios,confianza,diurno,NO,20A24A,40.0
207,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,10A14A,51.0
208,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,32.0
209,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,81.0
210,Femenino,Primaria,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,45.0
211,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,0.0
212,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,92.0
213,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,92.0
214,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,92.0
215,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,92.0
216,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,92.0
217,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,92.0
218,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,38.0
219,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,Menos6M,54.0
220,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,39.0
221,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,0.0
222,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,15A19A,92.0
223,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,15A19A,68.0
224,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,68.0
225,Femenino,Primaria,tiempoindeterminado,confianza,diurno,NO,Menos6M,0.0
226,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,SI,5A9A,62.0
227,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,91.0
228,Femenino,Bachillerato,tiempoindeterminado,confianza,diurno,SI,Menos6M,56.0
229,Femenino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,0.0
230,Femenino,Licenciatura,tiempodeterminado,confianza,diurno,NO,1A4A,102.0
231,Masculino,Bachillerato,otro,confianza,diurno,SI,Mas25A,30.0
232,Femenino,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,6M1A,29.0
233,Masculino,TecnicoSuperior,porObraoProyecto,ninguno,diurno,NO,1A4A,82.0
234,Femenino,Bachillerato,otro,confianza,diurno,SI,1A4A,41.0
235,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,SI,1A4A,78.0
236,Masculino,Bachillerato,otro,confianza,diurno,NO,1A4A,62.0
237,Femenino,Licenciatura,tiempodeterminado,confianza,diurno,NO,1A4A,21.0
238,Femenino,Bachillerato,otro,confianza,diurno,NO,Menos6M,46.0
239,Masculino,Bachillerato,otro,confianza,diurno,NO,Menos6M,68.0
240,Masculino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,1A4A,32.0
241,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,66.0
242,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,73.0
243,Masculino,Maestria,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,44.0
244,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,48.0
245,Masculino,Maestria,porObraoProyecto,sindicalizado,diurno,SI,1A4A,28.0
246,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,20A24A,42.0
247,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,5A9A,36.0
248,Masculino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,Menos6M,25.0
249,Masculino,TecnicoSuperior,tiempoindeterminado,ninguno,diurno,NO,Mas25A,50.0
250,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,Menos6M,59.0
251,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,Menos6M,45.0
252,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,5A9A,16.0
253,Femenino,Maestria,tiempoindeterminado,ninguno,diurno,NO,1A4A,13.0
254,Masculino,Licenciatura,honorarios,confianza,diurno,NO,1A4A,49.0
255,Masculino,Preparatoria,tiempodeterminado,ninguno,diurno,NO,20A24A,36.0
256,Masculino,Licenciatura,porObraoProyecto,ninguno,diurno,SI,Menos6M,92.0
257,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,15A19A,0.0
258,Femenino,Maestria,tiempoindeterminado,confianza,diurno,NO,10A14A,0.0
259,Femenino,Licenciatura,tiempoindeterminado,confianza,mixto,NO,10A14A,36.0
260,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,46.0
261,Femenino,Licenciatura,tiempoindeterminado,confianza,mixto,NO,10A14A,54.0
262,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,41.0
263,Femenino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,6M1A,30.0
264,Femenino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,10A14A,45.0
265,Masculino,Licenciatura,otro,ninguno,diurno,NO,1A4A,64.0
266,Masculino,Preparatoria,honorarios,sindicalizado,diurno,SI,Menos6M,45.0
267,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,65.0
268,Masculino,Maestria,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,54.0
269,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,54.0
270,Masculino,Preparatoria,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,54.0
271,Masculino,Maestria,tiempoindeterminado,ninguno,diurno,NO,1A4A,93.0
272,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,0.0
273,Masculino,Preparatoria,tiempoindeterminado,confianza,diurno,SI,10A14A,140.0
274,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,60.0
275,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,69.0
276,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,Menos6M,31.0
277,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,77.0
278,Masculino,Licenciatura,otro,confianza,diurno,NO,Menos6M,39.0
279,Masculino,Licenciatura,tiempoindeterminado,ninguno,mixto,NO,1A4A,78.0
280,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,41.0
281,Masculino,Doctorado,tiempoindeterminado,confianza,diurno,NO,5A9A,42.0
282,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,6M1A,28.0
283,Femenino,Preparatoria,tiempodeterminado,confianza,diurno,NO,Menos6M,8.0
284,Masculino,Licenciatura,tiempoindeterminado,ninguno,mixto,SI,1A4A,92.0
285,Femenino,Preparatoria,otro,confianza,diurno,NO,Menos6M,0.0
286,Femenino,Licenciatura,otro,sindicalizado,diurno,NO,1A4A,0.0
287,Masculino,Licenciatura,tiempodeterminado,confianza,diurno,NO,Menos6M,55.0
288,Masculino,Bachillerato,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,92.0
289,Masculino,Maestria,tiempoindeterminado,confianza,diurno,SI,10A14A,25.0
290,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,10A14A,26.0
291,Femenino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,1A4A,77.0
292,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,63.0
293,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,Menos6M,61.0
294,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,0.0
295,Masculino,Maestria,tiempodeterminado,confianza,mixto,NO,Menos6M,0.0
296,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,73.0
297,Femenino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,10A14A,0.0
298,Femenino,Licenciatura,tiempoindeterminado,confianza,mixto,NO,1A4A,0.0
299,Femenino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,5A9A,92.0
300,Masculino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,5A9A,74.0
301,Femenino,Licenciatura,porObraoProyecto,confianza,diurno,NO,5A9A,0.0
302,Femenino,Maestria,tiempoindeterminado,confianza,diurno,NO,6M1A,0.0
303,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,0.0
304,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,Menos6M,0.0
305,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,15A19A,0.0
306,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,0.0
307,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,0.0
308,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,20A24A,0.0
309,Masculino,Licenciatura,tiempodeterminado,sindicalizado,diurno,NO,Menos6M,0.0
310,Masculino,Licenciatura,porObraoProyecto,confianza,diurno,NO,5A9A,223.0
311,Femenino,Licenciatura,porObraoProyecto,sindicalizado,diurno,NO,1A4A,92.0
312,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,0.0
313,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,10A14A,0.0
314,Masculino,Licenciatura,tiempodeterminado,sindicalizado,diurno,NO,Menos6M,0.0
315,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,92.0
316,Masculino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,1A4A,86.0
317,Femenino,Secundaria,tiempoindeterminado,ninguno,diurno,NO,1A4A,0.0
318,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,94.0
319,Femenino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,6M1A,54.0
320,Masculino,Primaria,tiempoindeterminado,ninguno,diurno,NO,Menos6M,0.0
321,Femenino,Primaria,tiempoindeterminado,ninguno,diurno,SI,Menos6M,0.0
322,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,0.0
323,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,1A4A,44.0
324,Masculino,Primaria,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,0.0
325,Masculino,SinFormacion,tiempoindeterminado,ninguno,diurno,SI,Menos6M,0.0
326,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,0.0
327,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,98.0
328,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,87.0
329,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,0.0
330,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,58.0
331,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,0.0
332,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,68.0
333,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,47.0
334,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,0.0
335,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,0.0
336,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,0.0
337,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,0.0
338,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,79.0
339,Femenino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,Menos6M,85.0
